,pi1_from_tau_pt,pi1_from_tau_eta,pi1_from_tau_phi,pi2_from_tau_pt,pi2_from_tau_eta,pi2_from_tau_phi,pi3_from_tau_pt,pi3_from_tau_eta,pi3_from_tau_phi,neutrino_from_tau_pt,neutrino_from_tau_eta,neutrino_from_tau_phi,tau_no_neutrino_mass,tau_with_neutrino_mass
305,1.7724609375,2.3357646465301523,-0.741727378325034,1.744140625,2.0100100040435795,-0.4593946004060774,1.119140625,2.102298021316529,-0.781184935719563,1.3570867776870728,2.657056808471676,-0.6674883365631104,1.0452170496897704,1.7528576960702187
306,0.49316406249999994,-2.3723869323730495,-0.7830268858393492,1.00390625,-2.4359264373779292,-1.7187927241640706,1.0791015625,-2.3592028617858896,-1.44964457543834,2.792654037475586,-2.1640298366546626,-1.0725011825561523,0.9566447984473379,1.7718726029428404
307,3.7089843749999996,1.7379070520400999,-3.096288453052397,0.45361328125,1.941343426704407,2.7451077891748032,2.7988281250000004,1.82305371761322,-2.944917591844337,5.062658309936523,1.778331637382507,-2.9271292686462402,1.2236069763147914,1.7983179156795832
308,0.3359375,-1.2109134197235105,1.8920466278982317,0.9248046875,-0.660847783088684,2.831327228270521,0.728515625,-1.1658680438995361,-2.639052591540974,1.4550421237945557,-1.0963356494903564,2.790766477584839,1.310698499935375,1.799665541714742
309,1.7490234375000002,1.691030621528626,-0.3990412162536404,3.0390625000000004,1.853816390037537,-0.16963086050702558,0.369140625,1.431928515434265,-0.9483724523690795,0.2829679250717163,2.18959164619446,-1.0347716808319092,1.4009531759425724,1.7564844222325158
310,5.054687499999999,2.010010004043578,-1.6749515286405803,1.3574218749999998,2.200811862945557,-1.8716463269638568,0.818359375,2.299508571624758,-1.4313833663408804,0.22117874026298523,2.647083044052121,-0.7704182267189026,1.2614349998288985,1.8483068304241252
311,1.9023437500000002,-2.063112258911134,0.2822300417442783,1.1123046875,-2.190923690795897,0.6951296149334143,1.0576171875,-1.654408454895019,0.9079471182228872,0.8880767226219176,-1.7262632846832284,0.2424936145544052,1.4479968966971797,1.7743658810663223
312,0.4013671875,-0.34809410572052,0.9038401104215918,0.5048828125,-0.16754661500453946,-0.9729838205888564,0.235107421875,0.791589081287384,-1.8035684513345018,0.6595371961593628,-0.5095128417015076,0.7095637321472169,1.185691049074666,1.7803870300670432
313,1.8876953125000002,1.6232795715332027,-0.13417862079640108,1.0712890625,1.2845240831375122,-0.5217841302207438,3.00390625,1.5879391431808467,-0.44981518125657777,0.5832028985023499,1.351799726486206,-0.9839147329330444,1.283543739497962,1.7933791768798932
314,0.95703125,1.4244209527969365,-0.6766901495924773,1.3359375,1.0472121238708496,-0.9817755606300019,1.1572265625,1.5659657716751105,-0.6940725793959298,2.2667083740234375,1.027628421783447,-0.4978001415729523,1.027074793538885,1.770661063032492
315,4.05078125,0.6300851702690125,2.6667828826757174,0.7104492187499999,0.21076083183288583,2.3138332126407413,0.23181152343749997,0.18127994239330292,2.39851295835728,0.6051207780838013,1.0940120220184324,2.3238964080810547,1.323853867153427,1.7792069959894992
316,3.748046875,-0.42023986577987665,-0.9059873053293317,1.001953125,-0.5249794125556945,-0.6036219879618772,2.599609375,-0.49110385775566096,-0.71672487418514,0.6993103623390199,-0.09901262074708939,-0.2793780267238617,1.0222256457842054,1.7778688506708706
317,2.29296875,-0.7562486529350282,0.07881526383163973,2.048828125,-0.6960051059722899,0.0426818524363599,3.333984375,-0.8011108636856079,-0.1149478491486089,3.4783508777618404,-0.9109373688697816,-0.2482280880212784,0.8678525377013268,1.7768131999921741
318,0.61328125,0.23273415863513947,-2.3536791513522566,0.32373046875,1.7274696826934812,-3.011911692715806,1.6923828125000002,0.773644208908081,-2.8644372932194098,0.13122035562992096,-0.21569944918155667,-1.1077475547790527,1.4026026745904274,1.787083688320899
319,1.1328125,-1.5478377342224117,1.706977091098646,0.50927734375,-0.7439802289009098,1.5680115555199108,1.41015625,-1.0360423326492312,1.818519484356176,2.9115800857543945,-1.225066304206848,1.4417377710342407,1.1011310442631763,1.7682840595573641
320,0.59375,0.25269326567649847,2.8276197145599817,0.53271484375,0.11371196806430821,2.8532069156966413,1.658203125,-0.053834650665521615,2.2146240954854095,1.296617388725281,-0.1645676642656326,3.123497247695923,1.025822358803178,1.7735488229905556
321,3.43359375,0.35541856288909923,-2.7301585842236697,1.3037109375000002,0.6493117809295653,-2.9035142466941646,0.23181152343750003,0.8798485994338988,2.907708286116069,2.6748924255371094,0.42558765411376953,-2.5630791187286377,1.250313993223952,1.7813932140828617
322,10.140625,-1.0021668672561643,1.685890426797381,0.5576171875,-0.8635517358779905,1.5619563244111436,2.22265625,-0.9948423504829407,1.5335473844917082,0.7844931483268737,-0.6970136165618895,1.3760125637054443,1.1693513837492888,1.768879291728424
323,4.07421875,-1.13089394569397,-1.6918461194591554,0.99951171875,-1.1590930223464964,-1.4640192845462388,1.470703125,-1.3583178520202641,-1.8473153468432117,5.663449764251709,-1.316442728042602,-1.6046193838119507,1.0855239074785747,1.7701369854352027
324,6.13671875,0.6535233855247498,0.5120257318543432,2.1777343750000004,0.6385082602500914,0.30332510254094,1.2763671875,0.6663411259651183,0.489085100187821,3.508057594299316,0.8749939799308776,0.5363483428955079,0.9725497667986555,1.7821969106944493
325,4.72265625,-1.7135533094406132,0.37129833141568086,0.6801757812499999,-1.8801842927932755,0.6670192148328413,1.607421875,-1.9054536819458,0.491524990219108,3.671190738677978,-1.9987525939941406,0.5222571492195129,1.0383660655005482,1.7948346063341576
326,1.7998046875,2.044068813323975,-0.6142820140646696,2.3964843750000004,1.986755013465882,-1.1085340004503619,0.310302734375,2.050477504730225,-0.7990508581132627,0.9952825307846069,2.1187467575073247,-1.440251111984253,1.222226039178948,1.7805596230461949
327,4.58203125,1.235450267791748,1.937166347613418,5.25390625,1.1327250003814697,1.8065999260764156,2.080078125,1.2394787073135376,1.8469361524984913,1.0496103763580322,0.8012902140617372,1.787532091140747,1.0416785099473302,1.781461737597197
328,0.4560546875,-0.8071535229682922,3.0484372807908264,0.276611328125,-0.6233100295066832,2.8989194227089343,0.611328125,0.08514664322137827,1.9209630586538753,1.1783102750778198,0.4786203205585479,2.66697096824646,0.9938909777717114,1.7856891181959027
