,gen_pi1_from_tau_pt,gen_pi1_from_tau_eta,gen_pi1_from_tau_phi,gen_pi2_from_tau_pt,gen_pi2_from_tau_eta,gen_pi2_from_tau_phi,gen_pi3_from_tau_pt,gen_pi3_from_tau_eta,gen_pi3_from_tau_phi,gen_tau_pt,gen_tau_eta,gen_tau_phi
866,9.586384773254395,0.8646494746208193,-2.4993133544921875,2.898411512374878,0.7547978758811951,-2.6188817024230957,1.3514065742492676,1.018460392951965,-2.3974313735961914,13.824076652526855,0.8578529357910157,-2.5138416290283203
867,4.640783786773682,0.7665421962738038,-2.4686782360076904,0.28425824642181396,0.4289928376674653,-2.3354835510253906,0.7551540136337281,0.44629433751106273,-2.16677188873291,8.931614875793457,0.6600803136825562,-2.4778966903686523
868,1.2468535900115967,0.3971596956253051,1.7833571434020996,6.7425127029418945,0.5662307143211366,1.777771234512329,5.486415863037109,0.6305875778198243,1.7507878541946411,14.168840408325194,0.6015299558639526,1.7582329511642456
869,1.0304319858551025,-0.42027547955513,-1.1795527935028076,1.040411114692688,0.17727352678775785,-0.87923663854599,0.4054712355136872,0.598192811012268,-0.638044238090515,4.480035781860352,0.10060936212539678,-1.0911970138549805
870,4.1417317390441895,-1.8241866827011104,0.9867587089538573,1.1410404443740845,-1.984502434730531,0.6915047764778137,2.292593479156494,-1.9796521663665752,0.9620273113250732,11.432499885559082,-1.8965504169464116,0.8623782396316528
871,1.0533472299575806,1.2800898551940918,-1.9824374914169312,1.4083750247955322,1.7193020582199101,-1.732123851776123,2.4658946990966797,1.5499629974365237,-1.6169606447219849,7.077027320861817,1.4942508935928347,-1.6461094617843628
872,0.2704521119594574,1.3591634035110474,-0.7327295541763305,1.1901400089263916,0.22060202062129972,-1.184675931930542,1.4608415365219116,0.9341318011283875,-0.715609073638916,3.9071753025054936,0.6835138797760006,-0.967350423336029
873,1.1957645416259766,0.4302959740161897,0.953546404838562,0.6612225770950317,0.21018348634243011,0.07860632240772247,0.6285817027091979,0.2534281611442567,0.025329111143946648,3.5691010951995845,0.2544568479061128,0.6590989828109742
874,1.7348458766937256,2.1605992317199694,2.6375925540924072,0.9258131980895996,1.3151519298553465,2.728681802749634,0.7420649528503418,2.073021411895752,3.1194114685058594,3.8000767230987544,1.9288824796676636,2.737851619720459
875,1.587579607963562,-2.3532290458679213,-2.1600494384765625,2.02958607673645,-2.363924741744996,-1.7413567304611206,0.8908061385154724,-2.3145065307617188,-2.343575954437256,4.789167404174805,-2.398499965667726,-1.9220753908157349
