,gen_pi1_from_antitau_pt,gen_pi1_from_antitau_eta,gen_pi1_from_antitau_phi,gen_pi2_from_antitau_pt,gen_pi2_from_antitau_eta,gen_pi2_from_antitau_phi,gen_pi3_from_antitau_pt,gen_pi3_from_antitau_eta,gen_pi3_from_antitau_phi
1130,0.36755129694938654,2.5178513526916513,1.7706488370895386,1.339044451713562,2.8885979652404767,2.204096794128418,0.26467931270599365,3.972339868545537,1.5187749862670898
1131,0.3228762149810791,-0.02731775119900708,1.3904107809066772,0.2667500972747803,-0.8111352324485778,1.0639780759811401,1.1857818365097046,-0.24963967502117151,2.326617479324341
1132,0.7850272059440613,-0.5687791109085083,2.4926040172576904,1.3567278385162354,-0.8408002853393554,2.4903037548065186,2.5920040607452393,-0.9752105474472047,2.321761131286621
1133,1.3511029481887817,-3.7254369258880566,1.9008392095565796,4.327981948852539,-3.5682201385498376,1.8455657958984375,1.3276000022888184,-3.5809409618377863,1.496808409690857
1134,2.2199242115020756,2.529938459396364,0.3485076427459716,0.7040847539901732,2.2292847633361803,-0.03287537023425103,0.10451819002628328,4.2444844245911035,0.08048532903194427
1135,2.6163039207458496,-1.5168098211288445,1.4388234615325928,0.9793887734413146,-1.0527483224868774,1.3642299175262451,1.1705859899520874,-1.1424567699432375,1.451664924621582
1136,0.5046162605285645,-2.420731782913206,1.5759243965148926,0.468421995639801,-2.6917715072631863,1.4347496032714844,2.7977585792541504,-2.704337120056152,1.5559242963790894
1137,0.222416490316391,0.30175274610519415,1.7904125452041626,0.7071585655212402,0.4118699729442597,2.245875358581543,0.343719482421875,0.006520563270896651,0.31115585565567017
1138,0.5941433906555176,0.3205294311046599,0.9060724973678589,1.3247277736663818,0.31284198164939875,1.489498496055603,0.5687988996505737,0.2813366651535034,1.8733739852905273
1139,5.21841287612915,-0.7601944208145142,-0.8951966166496277,0.8076184988021851,-1.104950547218323,-0.9841238260269165,1.1061991453170776,-0.9047310948371886,-1.0847512483596802
1140,2.3006043434143066,2.6899294853210525,-2.0425095558166504,1.198781132698059,2.682811498641962,-1.7168889045715332,1.147166848182678,2.690525770187378,-1.651073694229126
