,gen_pi1_from_tau_pt,gen_pi1_from_tau_eta,gen_pi1_from_tau_phi,gen_pi2_from_tau_pt,gen_pi2_from_tau_eta,gen_pi2_from_tau_phi,gen_pi3_from_tau_pt,gen_pi3_from_tau_eta,gen_pi3_from_tau_phi
2384,3.5086443424224854,1.8973476886749259,-2.3493905067443848,1.9051628112792969,1.8144629001617434,-2.0463852882385254,0.2865927219390869,1.7673228979110727,-1.5438169240951538
2385,1.6593269109725954,-1.1988520622253414,0.45366090536117554,0.1239994466304779,-1.3256064653396609,-1.6633340120315552,0.2638212740421295,-0.2543502748012544,0.26342225074768066
2386,0.5536631345748901,-0.368360847234726,1.8731101751327515,0.4390393495559692,1.0217334032058716,1.9732447862625122,0.2607564330101013,-0.22586232423782346,1.1957290172576904
2387,0.6466348171234131,-3.235168933868421,2.5842080116271973,0.16369721293449402,-4.568054676055964,-1.9441707134246826,0.5064327120780945,-4.342097282409617,-2.4427902698516846
2388,1.4639798402786255,2.5277271270751913,-0.6703327894210815,1.485274076461792,2.6799910068511927,-0.6245735287666321,0.6805832982063293,2.5196321010589613,0.037030886858701706
2389,0.4966817498207093,0.25075280666351313,-2.7471249103546143,0.42056152224540705,-0.14379687607288366,2.7300591468811035,1.6675099134445193,-0.80277419090271,-2.7465367317199707
2390,0.2822485864162445,1.6809248924255376,1.6205705404281616,1.2779154777526855,0.9712517261505126,1.0463050603866577,0.3771666288375855,0.5159776806831359,1.5629957914352417
2391,0.09528332203626633,2.6532719135284473,1.9375580549240112,0.08580700308084488,-1.3584252595901487,2.6588191986083984,0.15364013612270355,0.9661746025085449,1.4778926372528076
2392,0.23156856000423434,4.559697151184228,2.3317272663116455,1.634190320968628,3.931531190872219,2.7276206016540527,2.930112361907959,4.006996631622378,2.5254242420196533
2393,3.357513189315796,-1.1886456012725826,-0.7830898761749268,0.9003288745880127,-1.3002150058746342,-1.1348955631256104,1.557387948036194,-1.3757867813110352,-1.0783637762069702
2394,1.8877458572387698,-1.2005829811096191,-2.7300095558166504,0.7107310295104979,-1.2120910882949831,-2.5692532062530518,3.554421186447144,-1.183349132537842,-2.4388818740844727
2395,1.9106515645980835,-3.7204794883727494,0.8577607274055481,0.5278330445289612,-4.373486042022651,0.8007509708404541,0.8920165896415712,-3.5449421405792467,1.2995396852493286
2396,0.11461217701435089,2.149948596954345,1.4993364810943604,0.8433231115341187,2.403327226638794,-2.287001848220825,0.5649774670600891,1.7643373012542727,2.3950366973876953
2397,1.8083959817886353,4.9140686988831055,-2.59106183052063,2.8421924114227295,5.025964260101243,-2.813439130783081,0.6950366497039795,5.4889030456523145,-2.3123514652252197
2398,0.6529920697212219,1.461556077003479,2.1012978553771973,1.4196076393127441,0.9392406940460205,2.25105619430542,2.6074862480163574,0.9907821416854861,2.1330392360687256
2399,0.8303912878036498,1.8895701169967658,-1.6554515361785889,8.522393226623535,1.7860689163208017,-1.8456178903579712,0.6637628078460693,1.7136015892028797,-1.835585117340088
2400,0.645717442035675,2.726031780242921,2.2352068424224854,1.3064260482788086,2.5179400444030704,2.473682403564453,2.644763708114624,2.1153631210327135,2.2403063774108887
2401,0.45430400967597956,2.0944390296936026,-0.9692214131355286,0.2988862097263336,1.3740546703338627,-3.034623146057129,0.4452735185623169,1.612502932548523,-2.134012222290039
2402,0.09249092638492584,0.20602864027023313,1.2156723737716675,1.4009798765182495,-0.9894336462020873,0.7866389751434326,1.8879239559173584,-0.6846864223480223,1.1937124729156494
2403,0.5238136053085327,-3.550410985946615,1.2240127325057983,0.33148741722106934,-3.4677925109863263,-1.3909891843795776,0.2206718623638153,-4.66108846664414,-1.8291984796524048
2404,3.1487815380096436,0.9744182229042051,1.369117021560669,0.4010396599769592,1.3389295339584353,1.8295353651046753,0.05382118374109268,0.2041798233985901,1.2613698244094849
2405,0.5219516158103943,-0.9328901767730713,0.38013422489166254,3.3402361869812016,-0.6835335493087767,-0.11217935383319853,0.6507729291915894,-0.6583396196365355,-0.1931687593460083
2406,0.6331283450126648,1.65915036201477,1.5808147192001343,2.2594192028045654,1.352222204208374,1.1865733861923218,2.67730450630188,1.2757475376129148,1.1962015628814697
