,pi1_from_antitau_pt,pi1_from_antitau_eta,pi1_from_antitau_phi,pi2_from_antitau_pt,pi2_from_antitau_eta,pi2_from_antitau_phi,pi3_from_antitau_pt,pi3_from_antitau_eta,pi3_from_antitau_phi,neutrino_from_antitau_pt,neutrino_from_antitau_eta,neutrino_from_antitau_phi,tau_no_neutrino_mass,tau_with_neutrino_mass
448,0.53173828125,-0.3925901055335999,-2.1187221481000647,0.509765625,0.3231910169124603,-1.765000314864451,0.29565429687499994,0.3567003309726716,-0.1871122007680943,0.8080818057060242,0.29983350634574885,-2.8949341773986816,1.0888122218339669,1.7715184789840612
449,0.9541015624999999,-0.680440664291382,-0.8422225311261806,1.8447265625,-0.5963926911354067,-0.6657376993869916,0.6376953125,-1.2548600435256958,-0.7096833894736425,0.9110563397407531,-1.2099250555038452,-1.3562148809432983,1.0016634139760476,1.7899726231982083
450,0.66357421875,-1.6641132831573486,-3.1061431930471675,1.2470703125,-1.3552049398422241,-2.89129141664915,0.7265625,-0.9406415224075314,2.9327972505311415,0.434126079082489,-2.1332712173461914,-2.044346809387207,0.9761384878502295,1.749368921636482
451,1.4443359375,-0.2514114677906037,1.358837332706187,1.4794921875,-0.3541367948055267,1.472317143921811,1.236328125,-0.3854487836360932,0.9287472084461303,1.1204808950424194,0.13799187541007987,0.8717591166496277,1.0541561827386194,1.7786704144185344
452,0.51171875,1.65294349193573,2.612184057083209,0.3251953125,0.8576921820640564,-1.3824672270790355,0.228515625,1.0292671918869016,-1.1562830542837017,0.7088308334350586,1.35604727268219,2.359746217727661,1.1737865840757447,1.770084079700952
453,1.5556640625000002,0.007324442267417903,1.1203405069361914,1.4765625,0.2074648290872573,1.0519918777829187,4.04296875,0.04834131896495821,0.8915335253425289,0.5214872360229492,0.6413522362709045,0.4824061691761017,0.9795515014799336,1.771034469678852
454,2.66796875,-2.2899868488311785,0.4133951909475793,2.8496093750000004,-2.440504074096677,0.45089611395325696,1.9091796875,-2.387218952178957,0.7205246794473742,4.4888386726379395,-2.4747157096862793,0.35891637206077576,1.1387073909311092,1.777422624685377
455,1.22265625,1.3779107332229616,-2.595383762871488,1.5986328125000002,0.9433881640434264,-2.547740131062424,3.24609375,1.3196814060211184,-2.3948944524221014,0.7042633295059204,1.7353441715240476,-2.6653971672058105,1.2765484269398306,1.7634251759313533
456,0.78564453125,-0.46034118533134466,-1.2992661430793013,0.9267578125000001,-0.481032758951187,-1.4331582692047315,2.474609375,-0.8139286637306213,-1.5763137215107714,4.932318210601807,-0.5211091637611388,-1.3355793952941895,0.9770772320711236,1.7445893999328355
457,0.52392578125,-2.1618092060089094,2.618141302906292,1.712890625,-2.232306957244873,-3.0617203506287094,1.6435546874999998,-2.2368845939636217,2.770305376613847,0.6689097881317139,-2.874482631683358,-2.841686964035034,1.0724613860947774,1.7670575634918884
