Unnamed: 0,pi1_pt,pi1_eta,pi1_phi,pi2_pt,pi2_eta,pi2_phi,pi3_pt,pi3_eta,pi3_phi,neu_pt,neu_eta,neu_phi,tau_noneu_m,tau_m,ups_noneu_m,ups_m
0.0,1.7187500000000002,-1.0538041591644285,1.768310110092158,2.849609375,-1.190405011177063,1.9433244167181496,1.3193359375,-1.4419995546340945,1.668695915491816,0.1404607594013214,-1.7381243705749512,-2.921028852462769,1.1481544097223528,1.78091977063097,,
1.0,2.3671875,-0.5945615768432616,0.5376099219888706,0.52587890625,-1.2182378768920896,0.2413108251911715,1.4052734375,-0.7593615651130676,0.9081401582340864,1.0811997652053833,-0.8819853067398072,1.008543610572815,1.3545536926755974,1.7560417619703363,,
2.0,1.3359375,-1.496749758720398,-0.3547056403285646,1.5771484375,-0.9404584169387816,-0.4828334085262285,1.2861328125,-1.5022431612014773,-0.3502960864585119,3.27124285697937,-1.1372143030166626,-0.4648056924343109,1.2543477557171907,1.771576923113008,,
3.0,6.015625,-1.3249915838241575,2.732799961362568,3.625,-1.3650928735733032,2.788759779847904,1.6318359375000002,-1.1160619258880613,2.8855431321450635,0.0419278666377067,0.393178939819336,2.875753164291382,1.1984547487474368,1.7837471832598637,,
4.0,0.841796875,0.2263252735137939,-0.8732606217736534,0.1785888671874999,0.7644886374473573,-0.1666083938415629,0.74169921875,1.1100192070007324,-0.5662354543035394,3.358823776245117,0.4404155313968659,-0.5804456472396851,1.0014719004921346,1.766289242381517,,
5.0,2.599609375,0.2389599233865738,0.8076381071342875,1.9599609375,0.2858363687992095,0.4451258125273055,1.43359375,0.4061403274536133,0.5213117772162186,5.012608528137207,0.2136426419019698,0.7538990378379822,1.149304430397006,1.77499818803327,,
6.0,1.7207031250000002,0.7190771102905272,0.3871154952170982,2.73828125,0.9477828145027162,0.3463937440527285,0.4421386718749999,0.1734061688184738,-0.3364317451589845,0.2693762183189392,0.8313795924186705,0.9414852261543274,1.5962919619510982,1.7887998671190652,,
7.0,0.9423828125,0.7947019934654237,0.5108462926917041,2.8261718750000004,1.0968352556228638,0.9826506360877226,1.4824218750000002,1.164769411087036,0.9302107408772404,2.4890944957733154,0.8750326037406921,1.0679919719696045,1.2343363079752847,1.7671657634817195,,
8.0,2.45703125,0.1038239672780036,-3.0896409342209337,0.315673828125,-0.2327341586351394,-2.817081434820796,3.3984375,-0.1155430749058722,-3.09580041240824,4.508336544036865,0.1590069979429244,-2.9813671112060547,1.0425520155758043,1.787318773889062,,
9.0,1.0234375,0.2056337147951127,1.0267010982528078,0.62451171875,-0.5423749685287476,1.6404859020187053,1.083984375,-0.395886093378067,1.3395029992284089,3.149395704269409,-0.120164655148983,1.4244647026062012,1.1773018445312664,1.77838352468432,,
