Unnamed: 0,pi1_pt,pi1_eta,pi1_phi,pi2_pt,pi2_eta,pi2_phi,pi3_pt,pi3_eta,pi3_phi,gen_antitau_pt,gen_antitau_eta,gen_antitau_phi,gen_tau_pt,gen_tau_eta,gen_tau_phi
0.0,1.6737033128738403,-1.0536291599273682,1.7685092687606812,2.89062237739563,-1.193580627441406,1.945082783699036,1.308782935142517,-1.441108226776123,1.6676312685012815,5.841169834136963,-1.2570714950561523,1.8570282459259035,,,
1.0,2.3946726322174072,-0.5942642688751221,0.5358909368515015,0.5330632328987122,-1.2169317007064822,0.2341640293598175,1.4181023836135864,-0.7492479085922239,0.9071815013885498,5.282159328460693,-0.7950620055198672,0.688947319984436,,,
2.0,1.3415031433105469,-1.4942883253097536,-0.3563999533653259,1.569068908691406,-0.9388592243194582,-0.4813754260540008,1.315149426460266,-1.5014742612838743,-0.3497068583965301,7.485050201416015,-1.244867444038391,-0.4287015795707702,,,
3.0,5.881682872772216,-1.3247097730636597,2.733543872833252,3.6616747379302974,-1.3641833066940308,2.788891315460205,1.6455284357070925,-1.1162402629852295,2.8864388465881348,11.21498966217041,-1.3068832159042358,2.7744932174682617,,,
4.0,0.841688573360443,0.2274645864963531,-0.8736529350280762,0.1951322704553603,0.776449203491211,-0.1610457897186279,0.751685380935669,1.1110094785690308,-0.5685178637504578,5.096796035766602,0.5430254340171814,-0.6108306050300598,,,
5.0,2.5928354263305664,0.2379541546106337,0.8062784075737,1.9750086069107051,0.2870254516601562,0.4452621340751648,1.444419980049133,0.4077340364456178,0.5239033699035645,10.918828010559082,0.2609729170799255,0.6811650991439819,,,
6.0,1.7379850149154663,0.721069633960724,0.3887458145618438,2.797829389572144,0.92220401763916,0.3067218959331512,0.4537535011768341,0.1736353635787963,-0.3256945013999939,5.112987041473389,0.8167808055877688,0.3133563101291656,,,
7.0,0.9450321197509768,0.794025421142578,0.5117888450622559,2.877730131149292,1.0969519615173338,0.9812053442001344,1.4993771314620972,1.1643325090408323,0.9312613010406494,7.703107833862305,1.0202627182006836,0.9439902901649476,,,
8.0,2.4700767993927,0.1042112335562706,-3.091139316558838,0.3172887861728668,-0.2300481945276259,-2.8354618549346924,3.3804655075073247,-0.1150363087654113,-3.094589233398437,10.653556823730469,0.0482642725110053,-3.0383176803588867,,,
9.0,1.014169692993164,0.2065391391515732,1.028534173965454,0.6290130615234375,-0.5437549352645875,1.6377677917480469,1.100714921951294,-0.3937698006629944,1.3415248394012451,5.807302474975586,-0.1666461378335952,1.3643033504486084,,,
10.0,0.8935858607292176,-0.0157957505434751,-1.0336177349090576,2.1300041675567627,-0.2679863274097443,-0.7419548630714417,0.8922672867774963,-0.5769082903862001,-0.4051173627376557,6.648096084594727,-0.2246931791305541,-0.8143090605735779,,,
11.0,0.3245348930358886,-0.2748540043830871,-0.2698381245136261,1.632673382759094,-0.2023448348045349,0.1608129441738129,3.808193683624268,-0.2632003128528594,0.433113545179367,7.880088806152344,-0.2306802421808242,0.3923236727714538,,,
12.0,2.626640796661377,0.4419364035129547,1.2302051782608032,2.1767680644989014,0.5350044369697571,1.2817870378494265,1.2211499214172363,0.2779883742332457,1.3426907062530518,8.297247886657715,0.3506587743759155,1.329167723655701,,,
13.0,2.9801571369171143,0.1947427242994308,0.4682222008705138,2.011300802230835,0.0541580580174923,0.3834963738918304,1.7437186241149902,0.406829535961151,0.6496484279632568,10.098726272583008,0.1524991244077682,0.5291059613227844,,,
14.0,1.4236570596694944,-0.9544302225112916,-1.9096616506576536,0.6104159355163574,-0.7567293047904967,-2.446316957473755,4.544799327850342,-1.0686795711517334,-2.0988528728485107,12.625234603881838,-1.0200830698013303,-2.062431573867798,,,
