,pi1_from_tau_pt,pi1_from_tau_eta,pi1_from_tau_phi,pi2_from_tau_pt,pi2_from_tau_eta,pi2_from_tau_phi,pi3_from_tau_pt,pi3_from_tau_eta,pi3_from_tau_phi,pi1_from_antitau_pt,pi1_from_antitau_eta,pi1_from_antitau_phi,pi2_from_antitau_pt,pi2_from_antitau_eta,pi2_from_antitau_phi,pi3_from_antitau_pt,pi3_from_antitau_eta,pi3_from_antitau_phi,neutrino_from_tau_pt,neutrino_from_tau_eta,neutrino_from_tau_phi,neutrino_from_antitau_pt,neutrino_from_antitau_eta,neutrino_from_antitau_phi,tau_no_neutrino_mass,tau_with_neutrino_mass,antitau_no_neutrino_mass,antitau_with_neutrino_mass,upsilon_no_neutrino_mass,upsilon_with_neutrino_mass
199,0.7373046875000001,0.28199103474616993,-2.735637474279799,0.77587890625,0.5323038697242738,-1.999092049829931,0.64892578125,0.6075624823570249,-1.7649889991733594,1.8134765624999998,0.4865260720252992,2.1041711776591705,2.140625,0.5410931706428528,2.031307426647544,2.431640625,0.36127811670303345,1.7652922499438404,1.2112617492675781,-0.08789817243814468,-1.6229907274246216,0.546251118183136,1.0750181674957275,2.2330989837646484,1.0026099790143066,1.7686091361383134,1.0026099790143066,1.7686091361383134,6.689005626026215,9.344174662219832
200,0.9746093749999999,-1.705862641334533,0.9048032352403882,1.619140625,-1.791009187698364,0.9833368177753362,1.443359375,-1.098849415779114,0.9594110558287925,0.83056640625,-0.8719748258590696,2.134448294887123,1.9160156250000002,-1.1246681213378908,2.141173510945167,2.212890625,-1.4777061939239495,2.326540353367634,3.453951597213745,-1.2608641386032104,1.0856106281280518,2.1599152088165283,-1.4162691831588743,2.373685359954834,1.3849318545774072,2.1696636564961693,1.3849318545774072,2.1696636564961693,6.096294315007603,9.442183192463265
201,1.4228515625,-0.19885860383510595,2.5410024614667988,0.55615234375,0.0049439985305070955,-3.0855488254297283,0.759765625,0.11993774026632306,2.72859141327149,0.33544921875,-1.9248634576797494,0.4661242388679208,0.2822265625,-2.056154012680054,1.7457591439134583,2.24609375,-1.9276100397109988,0.904914793172094,1.9325126409530637,-0.609566032886505,2.86981463432312,0.16267187893390656,-1.0119383335113525,-2.788675546646118,0.9000665272427302,1.7667211896932258,0.9000665272427302,1.7667211896932258,7.658259090766663,9.502519974658043
202,0.35864257812499994,0.07727286964654927,3.06835205782692,1.1162109375,-0.15619373321533198,-2.2585736982090348,1.84375,-0.15088351070880893,-2.561889358455847,0.491943359375,0.08166753500699996,-1.146905267092002,1.490234375,0.15509507060050967,-0.896114591014801,3.94140625,0.42005676031112676,-1.0369481784217562,1.8962825536727907,-0.46256539225578314,-2.8507394790649414,0.2552705407142639,-0.5178831815719606,-0.2780047953128815,1.0596271549228085,1.7705205864592284,1.0596271549228085,1.7705205864592284,6.694158654955353,9.466184432216014
203,0.63916015625,1.5016937255859373,2.173021836471313,0.8369140625,1.7677541971206676,3.1190486624350964,2.0390625,1.7617114782333378,3.053808948582621,1.0458984375,0.07068087160587311,0.15782665638864413,0.43457031250000006,-0.17084261775016787,0.015141424666221013,0.19030761718750003,0.7954344153404234,-0.3042103756041269,1.1492552757263184,1.5684860944747934,-2.9293951988220215,0.06757477670907974,-2.5283482074737518,2.4009830951690674,1.328569341526551,1.770598384258619,1.328569341526551,1.770598384258619,6.806036133815405,9.146817886955562
204,0.6835937499999999,1.4830164909362797,-2.216564893518801,4.53515625,1.4853968620300289,-1.8431248741002066,1.1259765625,1.438886642456055,-1.6856070467046602,0.8286132812499999,1.7430341243743908,-3.029186024418879,1.4052734375,1.4015320539474483,3.0835972185711533,0.681640625,1.1290627717971802,2.5258650591020766,0.636043906211853,1.9466054439544667,-1.3607680797576904,3.434853076934815,1.61219334602356,3.0635883808135986,1.0468237330638355,1.7567269279930793,1.0468237330638355,1.7567269279930793,5.975375413227159,9.29350495558591
205,0.267822265625,-1.4394359588623047,-0.5153451632655174,0.392822265625,-0.8558610677719115,0.338385411383857,0.6396484375,-0.12085329741239552,0.6651633264540636,1.111328125,-1.6089968681335454,-2.8750965256515073,0.5576171875,-1.9116793870925906,-2.7788989164106948,1.2255859375,-1.3812067508697512,-2.241954941327821,1.9202780723571775,-0.05614339932799332,0.2461546361446381,0.8009286522865295,-2.324425935745237,-2.3139994144439697,1.004023139274245,1.8335234880317273,1.004023139274245,1.8335234880317273,4.730432150146208,9.502694362301405
206,1.865234375,1.3103426694869995,-0.273733595519785,0.4248046875,1.0805383920669553,-0.3558660684750027,0.60693359375,0.642536699771881,-0.4515703354457163,1.8681640625,0.30542925000190735,2.063739997372231,1.115234375,0.43269142508506786,1.9865754297192921,0.927734375,0.2124088257551193,2.6528065201855413,0.17593833804130554,0.30583694577217096,2.1827712059020996,2.383788585662842,0.12233226746320727,2.4562058448791504,0.980819485098536,1.7970839601063358,0.980819485098536,1.7970839601063358,7.214383224694527,9.569783248119954
207,0.7846679687499999,-1.8096865415573122,-2.224684987302033,0.7275390625,-2.174809932708742,-2.3611142160676604,0.43139648437500006,-1.6760154962539675,2.965231578478637,2.568359375,-2.449476718902588,2.473997605225882,10.7578125,-2.368907690048217,2.3695049744649643,1.7412109375,-2.261787891387938,2.483078116279464,0.2646714746952057,-2.4394929409027104,1.1332087516784668,4.770159721374512,-2.2346935272216806,2.433337450027466,1.005982168851003,1.755344156912134,1.005982168851003,1.755344156912134,7.813463346933782,9.452780132255974
208,5.21875,-0.2732017040252686,-2.9353416326374333,0.50732421875,-0.003845332190394471,-3.071485467108291,2.734375,-0.016296884045004893,-2.8656184625898122,1.4345703125000002,-0.5870540738105774,-0.22314453352097527,0.47924804687499994,-0.3468123376369476,-1.1264944957258514,0.73681640625,0.03515732288360599,-0.9950570895483609,0.6349776387214661,-0.6023484468460082,3.1238279342651367,0.2613779306411743,-1.1497161388397215,-1.8389780521392822,1.3167042459406837,1.7836656948006726,1.3167042459406837,1.7836656948006726,8.951684795454257,9.711786920053463
